N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"86,800","1,300",-1.48%,100,"5,181,771","5,969,783",55.49,"30,430,330",23.70,8.69,
2,SK하이닉스,"128,500","3,000",-2.28%,"5,000","935,483","728,002",50.16,"3,914,900",32.60,4.25,
3,LG화학,"975,000","13,000",-1.32%,"5,000","688,275","70,592",43.70,"385,932",91.10,1.84,
4,삼성전자우,"77,600",0,0.00%,100,"638,560","822,887",80.26,"3,006,672",21.19,N/A,
5,NAVER,"343,500","21,000",+6.51%,100,"564,245","164,263",56.80,"3,258,379",68.39,10.56,
6,현대차,"257,000","7,500",-2.84%,"5,000","549,127","213,668",31.29,"2,071,264",61.41,4.32,
7,삼성SDI,"792,000","47,000",+6.31%,"5,000","544,615","68,765",44.24,"971,103",270.21,2.94,
8,삼성바이오로직스,"794,000","2,000",-0.25%,"2,500","525,350","66,165",10.27,"116,777",147.83,4.77,
9,셀트리온,"310,000","2,000",-0.64%,"1,000","418,493","134,998",20.51,"820,773",83.78,11.19,
10,카카오,"463,000","9,000",+1.98%,500,"409,764","88,502",33.71,"1,157,710",-513.87,-5.81,
11,기아차,"87,800","3,300",-3.62%,"5,000","355,909","405,363",36.35,"7,051,130",40.80,6.50,
12,현대모비스,"350,000","11,000",-3.05%,"5,000","332,691","95,055",41.97,"762,371",21.34,7.28,
13,LG전자,"177,500","7,500",-4.05%,"5,000","290,475","163,648",34.48,"6,950,665",38.55,0.22,
14,삼성물산,"146,000","5,000",-3.31%,100,"272,855","186,887",15.03,"923,188",24.46,4.77,
15,SK이노베이션,"278,000","2,000",+0.72%,"5,000","257,054","92,466",23.77,"1,515,862",-10.57,-0.20,
16,LG생활건강,"1,562,000","17,000",+1.10%,"5,000","243,956","15,618",45.62,"65,837",35.00,20.32,
17,SK,"328,000","13,500",-3.95%,200,"230,782","70,360",22.05,"630,918","1,383.97",4.31,
18,POSCO,"261,000","8,500",-3.15%,"5,000","227,558","87,187",51.13,"608,303",23.91,4.18,
19,엔씨소프트,"989,000","19,000",+1.96%,500,"217,125","21,954",49.56,"135,419",38.70,14.72,
20,SK텔레콤,"254,000","2,000",-0.78%,500,"205,094","80,746",34.69,"370,064",18.70,3.92,
21,LG,"107,000","8,500",-7.36%,"5,000","184,636","172,557",34.88,"1,109,355",15.13,5.87,
22,KB금융,"44,050",700,-1.56%,"5,000","183,163","415,808",66.45,"2,210,235",5.37,8.92,
23,신한지주,"32,850",500,-1.50%,"5,000","169,703","516,600",58.25,"2,477,164",4.71,9.09,
24,삼성전기,"212,500","2,000",+0.95%,"5,000","158,724","74,694",35.52,"1,057,759",43.54,10.18,
25,삼성에스디에스,"202,000","4,500",-2.18%,500,"156,303","77,378",11.82,"350,915",29.82,11.76,
26,한국전력,"24,150",500,-2.03%,"5,000","155,034","641,964",17.34,"5,335,793",167.71,-3.42,
27,삼성생명,"77,200","1,700",-2.15%,500,"154,400","200,000",12.38,"648,884",15.51,3.26,
28,아모레퍼시픽,"238,000","6,500",+2.81%,500,"139,131","58,458",32.85,"564,882",382.64,5.36,
29,SK바이오팜,"150,500","1,000",-0.66%,500,"117,861","78,313",4.89,"209,991",-136.82,-313.66,
30,KT&G,"81,200",300,+0.37%,"5,000","111,482","137,292",40.40,"802,782",11.33,12.39,
